x,y
50.0,2215.0
483.0,50.0
1003.8750303898491,590.4235394152159
916.0,3947.0
2215.0,50.0
1349.0,50.0
50.0,50.0
1349.0,3947.0
3514.0,3947.0
50.0,916.0
1127.7110740268167,2862.239302071185
3309.726748839287,1859.6276097761408
50.0,2648.0
950.6081155299322,1886.7433365887116
2984.496714279807,2612.3494581550062
3081.0,50.0
916.0,50.0
3081.0,3947.0
50.0,483.0
610.7116598508804,2945.537696738014
1926.630057138262,3181.730342856102
1782.0,50.0
3947.0,50.0
50.0,1349.0
2648.0,50.0
50.0,3947.0
1547.36825655581,2608.676254891049
3947.0,3514.0
3947.0,1782.0
2939.0463202330534,3133.769339603194
2349.1767651554237,2227.3807343180815
2576.414570192291,476.3139928278299
50.0,3081.0
3947.0,483.0
50.0,1782.0
3167.5537867282924,665.8147589605608
3922.1829864056053,2376.6298297033577
1782.0,3947.0
2648.0,3947.0
3947.0,3947.0
3947.0,3081.0
3947.0,1349.0
2549.1127161459267,1155.516678089921
483.0,3947.0
3947.0,916.0
2215.0,3947.0
1535.8696778497763,1505.520570062207
1569.043086809948,576.8771418513761
3131.8628860957965,1174.6481001470986
3514.0,50.0
